"reply_atall","treat_deshawn","leg_republican","leg_white"
0,1,1,1
0,1,1,1
0,0,0,1
1,0,1,1
1,1,1,1
0,0,0,1
0,1,1,1
1,0,1,0
1,1,0,1
1,1,0,1
1,0,1,1
0,0,0,0
1,1,1,1
1,1,0,0
1,0,1,1
0,0,1,1
1,1,0,1
0,1,0,0
0,1,1,1
0,1,0,0
1,0,0,0
1,0,0,1
0,0,0,0
0,0,0,1
1,0,1,1
0,0,1,1
0,1,1,1
0,1,0,0
0,1,0,1
0,1,0,0
0,1,0,1
0,1,1,1
1,1,0,0
1,0,1,1
0,1,1,1
1,0,1,1
0,1,1,1
0,0,0,1
0,0,1,1
0,1,1,1
0,0,0,1
0,1,0,0
0,0,0,1
0,0,1,1
1,1,1,1
1,0,0,0
0,0,1,1
0,1,0,1
0,0,0,1
1,0,0,1
0,1,0,1
1,0,0,1
1,0,0,1
0,1,1,1
1,0,1,1
0,0,0,0
0,1,0,1
0,1,0,1
1,1,0,1
1,0,1,1
1,1,1,1
1,1,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,1,0,1
1,1,0,1
0,1,0,1
1,0,1,1
1,0,0,1
1,1,1,1
0,1,0,1
0,0,0,1
0,0,0,1
0,0,0,0
1,1,1,1
0,0,0,0
0,1,0,1
1,1,0,1
1,0,1,1
0,1,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,1,1,1
1,0,1,1
1,0,1,1
1,1,0,1
1,0,1,1
1,0,1,1
0,0,0,0
1,1,0,1
0,1,0,0
0,0,0,0
0,0,0,0
1,1,0,0
1,0,0,1
0,1,0,1
1,0,1,1
1,0,0,1
0,1,1,1
0,1,0,0
0,0,0,0
1,0,1,1
1,1,1,1
1,1,1,1
1,0,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0,0,0,0
0,1,1,1
0,0,1,1
0,0,0,0
0,1,0,1
1,1,1,1
1,1,0,1
0,0,0,0
1,0,1,1
1,1,0,1
1,0,0,1
1,1,1,1
1,1,1,1
0,1,0,1
1,1,1,0
1,1,1,1
0,0,0,1
1,1,0,0
0,1,0,1
1,0,0,1
0,0,1,1
1,1,0,0
1,1,0,1
1,0,0,1
1,0,1,1
0,1,0,1
0,0,1,1
0,0,0,0
0,0,0,1
1,1,1,1
0,1,1,1
0,1,0,1
0,0,0,0
0,1,0,1
1,0,0,1
1,0,1,1
1,1,0,1
1,0,1,1
1,1,0,1
1,0,0,1
0,1,0,1
1,0,1,1
1,1,1,1
0,1,1,1
0,1,0,0
0,1,0,1
0,0,0,0
0,0,1,1
1,0,0,1
1,0,0,1
0,0,0,1
1,0,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,0,0,1
1,0,1,1
0,1,0,1
1,0,0,0
1,0,1,1
1,0,0,1
1,1,0,0
1,0,1,1
1,1,0,0
1,0,0,1
0,1,1,1
0,0,0,1
0,0,0,1
1,0,1,1
1,1,1,1
1,1,1,1
1,0,0,1
1,0,0,1
1,1,0,0
0,0,1,1
0,1,0,1
1,1,0,1
1,0,1,1
1,1,0,1
1,1,0,1
1,0,0,1
1,0,0,1
1,0,0,1
0,1,1,1
1,0,0,1
1,1,0,1
1,0,1,1
1,0,0,1
1,0,0,1
1,1,1,1
1,1,0,1
1,1,0,1
1,0,0,1
1,1,1,1
1,1,1,1
1,1,0,1
1,0,0,1
0,1,1,1
1,1,0,1
0,0,0,1
1,0,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,0,0,1
1,1,0,1
0,1,0,1
1,0,0,1
1,0,1,1
1,0,1,1
1,1,1,1
1,0,1,1
1,0,0,1
0,0,0,1
1,1,1,1
1,1,1,1
1,1,1,1
0,0,0,0
0,1,1,0
0,1,1,1
0,0,1,0
1,1,0,0
0,0,0,0
1,1,1,1
1,0,1,1
1,1,1,1
0,0,1,1
1,0,1,1
0,0,0,1
1,1,1,1
1,0,1,1
1,1,1,1
0,0,0,1
1,0,1,1
0,1,0,0
1,1,1,1
1,1,1,1
1,1,0,0
1,0,1,1
1,1,0,1
1,0,1,1
1,0,1,0
0,0,0,1
1,0,1,1
0,0,1,1
0,0,1,1
1,1,0,1
1,0,1,1
1,1,1,1
1,1,0,0
0,1,1,1
1,1,1,1
1,0,1,0
1,0,0,1
0,0,1,1
0,0,0,0
1,0,1,1
0,1,1,1
1,0,1,1
0,1,0,1
0,1,1,1
1,1,0,1
0,0,0,0
1,1,1,1
1,1,1,1
1,0,0,0
1,0,0,1
1,0,0,1
0,1,0,0
1,1,1,1
1,1,1,1
1,0,1,1
0,0,1,1
1,1,0,1
1,1,1,1
1,1,0,1
0,1,1,1
1,1,0,0
0,0,0,0
0,1,0,0
1,0,1,1
1,1,1,1
1,0,1,1
0,0,0,0
0,1,0,0
1,0,1,1
1,0,1,1
1,0,0,1
1,0,1,1
1,0,1,1
0,1,1,1
1,1,0,0
1,1,1,1
1,0,1,1
1,0,0,1
0,0,1,1
1,1,0,0
0,0,0,0
0,1,0,0
1,1,1,1
1,0,0,0
1,0,1,1
1,1,1,1
0,1,1,1
1,0,1,1
0,1,1,1
1,1,1,1
1,0,0,1
0,0,0,0
1,0,0,0
1,0,0,0
1,1,0,0
0,1,0,0
1,1,0,0
0,1,0,0
1,1,0,0
1,0,1,1
0,0,0,0
0,1,0,0
1,1,1,1
0,0,0,0
0,0,0,0
0,1,1,1
0,0,1,1
1,1,0,0
1,0,0,1
1,0,0,1
1,1,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,0,1,1
1,1,1,1
0,0,1,1
1,1,0,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0,1
0,0,0,1
1,0,0,1
0,1,0,1
1,1,1,1
1,0,1,1
0,1,0,1
0,0,1,1
0,0,1,1
1,0,1,1
0,0,0,1
0,0,0,1
1,1,0,1
0,1,1,1
1,1,0,1
