"question","support","race_white","age","high.income","trump_approve","party","treat","weight"
"Climate_Change",1,1,28,0,1,"independent","control",0.966477338118308
"Immigration",1,1,21,NA,2,"independent","control",0.911293151999053
"Guns_Background",0,1,43,1,5,"republican","libtrump",0.996951274269766
"Climate_Change",1,1,72,0,1,"democrat","control",0.934392618492665
"Minimum_Wage",1,1,68,0,4,"republican","control",1.02904524011811
"Health_Care",NA,1,61,0,5,"republican","control",1.002641475049
"Tax_Increase",1,1,61,0,1,"democrat","control",0.932383850272883
"Guns_Background",NA,0,24,0,1,"independent","control",0.984605145296283
"Minimum_Wage",1,1,74,NA,1,"democrat","control",0.919268941529557
"Tax_Increase",1,1,64,1,4,"republican","libtrump",0.992256357527248
"Planned_Parenthood",0,1,40,0,3,"republican","libtrump",0.967306808016466
"Planned_Parenthood",NA,1,52,0,5,"republican","control",1.04529517197427
"Tax_Increase",1,1,69,0,5,"republican","control",1.0085094654515
"Planned_Parenthood",1,1,34,0,1,"democrat","libtrump",1.04161299786437
"Tax_Increase",0,1,83,0,5,"republican","control",0.97544178984622
"Iran_Agreement",NA,1,38,1,1,"democrat","libtrump",0.976006550271022
"Climate_Change",0,1,72,0,5,"republican","control",0.991497566762195
"Health_Care",1,0,49,1,1,"democrat","control",0.978332899088027
"Tax_Increase",1,0,61,NA,2,"democrat","libtrump",0.900755151766428
"Guns_Background",1,1,60,0,1,"democrat","control",0.959606834158469
"Iran_Agreement",1,1,91,NA,1,"democrat","control",1.02129308486644
"Climate_Change",1,1,73,0,1,"democrat","control",1.02883733596581
"Minimum_Wage",1,1,60,0,1,"democrat","control",1.06076280454498
"Guns_Background",1,1,48,1,1,"independent","control",0.953558994831745
"Minimum_Wage",1,0,48,0,1,"democrat","control",0.95476623531975
"Tax_Increase",NA,1,21,NA,2,"independent","control",1.05939113360455
"School_Guns",1,1,60,0,1,"democrat","control",1.00485033771811
"Guns_Background",1,1,74,0,5,"republican","libtrump",1.04053644161819
"Iran_Agreement",1,0,39,0,5,"democrat","control",1.03320881184351
"Immigration",1,1,42,0,2,"independent","libtrump",0.978963666789206
"Health_Care",NA,1,30,0,5,"republican","control",0.981673796607334
"Minimum_Wage",1,1,59,0,1,"democrat","control",1.02422457145087
"Climate_Change",0,1,72,0,5,"republican","control",1.06143784575769
"Minimum_Wage",0,0,51,1,5,"independent","libtrump",1.0084310872259
"Minimum_Wage",0,1,31,0,1,"democrat","control",1.01048119600432
"Immigration",1,1,36,1,1,"democrat","control",1.02998809701955
"Tax_Increase",0,1,61,1,5,"republican","control",0.975550606140699
"Minimum_Wage",1,1,28,0,4,"republican","libtrump",0.950091352472239
"Minimum_Wage",1,0,38,0,1,"democrat","control",0.93017154165871
"Abortion",1,1,61,0,5,"republican","control",1.0558804704981
"Minimum_Wage",0,1,60,0,1,"republican","control",1.0582925243008
"Abortion",1,1,42,0,1,"democrat","libtrump",0.990305305318979
"Health_Care",0,1,41,0,4,"republican","control",1.05073731027527
"Abortion",NA,1,53,1,5,"republican","control",0.945236970693861
"Health_Care",1,0,71,0,4,"democrat","libtrump",1.06065104624213
"Abortion",1,0,62,0,1,"democrat","libtrump",0.9941094206533
"Tax_Increase",1,1,25,NA,4,"democrat","libtrump",1.0377512173117
"Guns_Background",1,1,55,0,NA,"democrat","control",0.925069931948717
"Iran_Agreement",1,1,36,0,NA,"republican","control",0.977457852616636
"Iran_Agreement",1,1,57,NA,1,"democrat","control",0.977384366988519
"Health_Care",0,1,64,0,5,"republican","control",1.08926800903565
"Immigration",NA,0,25,0,1,"democrat","control",1.08634797266188
"Iran_Agreement",NA,1,27,0,2,"republican","control",0.979507065363214
"Health_Care",1,0,58,1,3,"democrat","control",0.920037215669728
"Iran_Agreement",0,1,56,0,5,"republican","control",1.00402171608873
"Planned_Parenthood",1,1,60,0,3,"independent","control",0.961870349388152
"Tax_Increase",1,1,58,1,4,"independent","libtrump",0.97139195708846
"Immigration",1,1,33,0,4,"democrat","control",1.00853420427251
"School_Guns",1,1,57,0,4,"democrat","control",0.984824850282663
"Planned_Parenthood",0,0,27,0,2,"republican","control",1.00100891898197
"Iran_Agreement",1,1,29,1,1,"democrat","control",1.0098399879169
"Iran_Agreement",1,1,45,0,2,"republican","control",0.982104821365901
"School_Guns",1,1,21,NA,1,"democrat","libtrump",0.947853709955395
"Immigration",1,1,63,0,1,"democrat","control",0.982955050405002
"Minimum_Wage",0,0,53,1,5,"republican","control",0.994010203483146
"Iran_Agreement",NA,0,38,0,3,"republican","control",0.90750244184302
"Tax_Increase",0,1,61,0,4,"republican","control",1.02170916063329
"Iran_Agreement",1,0,19,NA,1,"democrat","control",0.876116933546107
"Iran_Agreement",1,0,27,0,3,"independent","control",1.06865754738264
"Planned_Parenthood",1,0,45,0,1,"democrat","control",1.02661229715524
"School_Guns",0,1,38,1,4,"republican","control",0.929642786735802
"School_Guns",1,0,61,NA,2,"democrat","libtrump",1.04598428559347
"Guns_Background",NA,1,79,NA,5,"republican","libtrump",0.957405424593434
"Planned_Parenthood",0,1,59,1,5,"democrat","control",1.06329049047013
"Abortion",1,1,27,0,1,"democrat","control",1.05898801796515
"Abortion",1,1,51,0,NA,"republican","control",0.933492437089491
"Tax_Increase",1,1,66,1,5,"republican","control",1.02607887821555
"Minimum_Wage",NA,1,62,1,1,"democrat","control",0.982287564324131
"Climate_Change",0,0,70,0,5,"independent","control",1.08064508801462
"Planned_Parenthood",1,1,42,0,1,"democrat","libtrump",0.977214463899703
"Immigration",0,1,53,0,3,"republican","control",0.989461034094189
"Tax_Increase",1,1,64,0,4,"democrat","control",0.939619579025461
"Immigration",1,1,52,0,1,"democrat","control",0.880613653581384
"Guns_Background",1,1,59,0,3,"independent","libtrump",0.953162757786541
