participantid,vote_prefer,treat_assign_coethnic,treat_assign_joking_cousin,actor,interviewer,female,education,vecu_ailleurs,inscrite,cousin_subject
1,4,1,1,1,2,0,1,1,1,1
2,6,1,0,1,2,0,1,0,0,0
3,1,1,0,2,2,0,1,1,1,1
4,3,0,1,2,2,1,0,1,1,1
5,5,1,0,1,2,1,0,1,0,0
6,2,0,1,2,2,0,1,1,1,1
7,4,0,0,1,2,0,1,1,1,0
8,3,0,0,2,2,0,1,1,1,0
9,3,1,0,1,2,0,0,1,1,1
10,5,1,0,2,2,0,0,1,1,1
11,4,0,0,2,2,0,1,1,1,1
12,4,0,0,1,2,0,1,1,1,0
13,5,0,0,1,2,1,1,1,1,0
14,6,0,1,2,2,1,1,1,1,1
15,7,1,1,2,2,0,0,1,1,1
16,4,1,1,1,2,0,0,1,1,1
17,5,0,0,2,2,0,1,0,1,0
18,2,1,1,1,2,0,1,0,1,1
19,4,0,0,2,2,0,1,0,1,0
20,4,0,0,1,2,0,0,0,1,1
21,3,1,0,2,2,0,0,0,1,0
22,1,0,1,2,2,0,1,1,1,0
23,5,1,0,1,2,1,1,1,1,0
24,3,0,0,2,2,1,1,1,1,0
25,5,1,1,1,2,0,1,1,1,0
26,5,0,1,1,2,1,1,1,1,0
27,3,0,0,2,2,1,1,1,1,0
28,4,0,0,2,2,1,1,1,1,0
29,6,0,0,2,2,1,0,1,0,0
30,3,1,0,1,2,0,1,1,1,0
31,3,1,1,2,2,0,1,1,1,1
32,2,0,0,2,2,0,0,1,1,0
33,4,1,0,1,2,0,0,1,1,1
34,3,0,1,2,2,1,0,1,1,1
35,5,1,1,2,2,0,1,1,1,0
36,4,1,1,1,2,0,1,1,1,0
37,6,0,0,1,2,0,0,1,1,0
38,4,1,0,2,2,0,1,1,1,0
39,1,1,0,1,2,0,1,1,1,0
40,2,1,1,2,2,0,0,1,1,1
41,5,1,1,2,2,1,0,1,1,0
42,3,1,1,1,2,1,0,1,1,0
43,3,0,0,1,2,0,1,1,1,0
44,5,1,0,2,2,0,1,1,1,0
45,4,0,0,1,2,1,0,1,1,0
46,5,0,0,2,2,1,0,1,1,0
47,3,1,0,2,2,0,0,1,1,1
48,6,1,1,1,2,0,0,1,1,0
49,3,0,1,1,2,1,1,0,1,1
50,3,0,0,2,2,1,1,0,1,0
51,5,1,1,2,2,0,1,1,1,1
52,5,0,1,1,2,0,1,1,1,1
53,5,0,1,1,2,0,0,1,1,1
54,5,0,1,2,2,0,0,1,1,1
55,4,0,0,2,2,1,0,1,1,0
56,4,0,1,1,2,1,0,1,1,1
57,5,1,0,2,2,0,0,0,1,0
58,5,1,1,2,2,0,1,1,1,1
59,7,1,1,1,2,1,1,1,1,0
60,7,0,1,2,2,1,1,1,1,0
61,4,1,0,2,2,1,0,1,1,1
62,4,1,0,1,2,1,1,1,1,1
63,7,0,0,2,2,1,1,1,1,0
64,2,0,1,2,2,0,1,1,1,0
65,5,1,1,2,2,1,0,1,1,0
66,4,1,0,1,2,0,1,1,1,0
67,5,0,1,1,2,1,0,1,1,1
68,3,0,1,1,2,0,1,1,1,1
69,1,0,1,2,2,0,1,1,1,1
70,2,0,1,1,2,0,1,1,1,1
71,4,1,0,2,2,0,1,1,1,0
72,5,1,0,1,2,0,1,1,1,0
73,4,1,0,2,2,1,1,1,1,0
74,4,1,0,1,2,1,1,1,1,1
75,2,0,0,1,2,1,0,0,1,1
76,6,1,0,1,4,0,1,0,1,0
77,3,1,1,2,4,0,0,1,1,0
78,4,0,1,1,4,0,1,1,1,0
79,7,0,0,1,4,0,0,0,1,0
80,6,0,1,2,4,0,0,0,1,1
81,7,1,0,1,4,0,1,0,0,0
82,6,0,0,2,4,0,0,1,0,0
83,7,1,1,2,4,0,0,1,0,0
84,7,1,0,1,4,0,0,1,0,0
85,6,0,0,2,4,1,1,1,1,0
86,6,0,0,2,4,0,0,1,0,0
87,5,1,0,1,4,0,0,1,0,0
88,5,0,0,1,4,0,0,1,1,0
89,6,0,1,2,4,0,0,1,1,1
90,7,1,1,1,4,0,0,1,1,0
91,6,0,0,2,4,0,0,1,1,0
92,5,0,1,2,4,0,0,1,1,1
93,5,1,0,2,4,0,1,1,1,1
94,4,0,0,1,4,0,1,1,1,0
95,7,1,1,1,4,0,0,1,1,0
96,5,1,0,2,4,0,0,1,0,1
97,6,1,1,2,4,1,1,1,1,0
98,4,1,0,1,4,1,1,1,1,0
99,7,0,1,1,4,0,1,1,1,1
100,5,1,1,2,4,0,0,1,0,0
101,5,0,1,1,4,0,0,1,0,1
102,4,1,1,2,4,0,0,1,0,0
103,6,0,0,1,4,0,0,1,0,0
104,6,0,0,2,4,0,1,1,1,0
105,5,1,0,1,4,0,1,1,1,1
106,6,0,0,2,4,0,0,1,0,0
107,5,0,0,1,4,0,0,1,0,0
108,6,0,1,2,4,0,0,0,1,1
109,6,1,0,2,4,0,1,1,1,0
110,7,1,1,1,4,0,1,1,1,1
111,7,1,1,1,4,1,1,1,0,0
112,6,0,0,2,4,1,1,1,0,0
113,7,1,1,2,4,0,1,1,1,1
114,5,1,0,1,4,0,1,1,1,1
115,7,1,0,2,4,0,0,1,0,0
116,7,0,0,1,4,0,0,1,0,1
117,6,0,1,2,4,0,0,1,1,1
118,5,1,0,1,4,0,0,1,1,0
119,6,1,1,2,4,0,1,1,0,0
120,6,1,0,1,4,0,0,1,1,0
121,5,1,1,2,4,1,1,1,1,1
122,7,0,1,1,4,1,1,1,1,1
123,7,1,0,2,4,0,0,1,0,0
124,5,0,0,1,4,0,0,1,0,0
125,7,0,0,2,4,0,1,1,1,0
126,7,1,0,2,4,1,0,0,1,0
127,5,0,0,1,4,0,1,1,1,0
128,7,1,1,2,4,0,0,1,0,0
129,5,0,0,1,4,0,0,1,0,0
130,7,0,1,2,4,0,1,1,1,1
131,7,1,0,2,4,1,1,1,1,0
132,4,1,0,1,4,0,0,1,0,0
133,7,1,1,2,4,0,1,1,1,0
134,3,0,0,1,4,0,1,1,1,0
135,7,0,0,2,4,0,0,1,1,0
136,7,0,0,1,4,0,0,0,0,0
137,5,0,1,1,4,0,0,1,0,0
138,5,0,1,2,4,0,0,1,0,0
139,7,0,1,1,4,0,1,1,0,1
140,7,0,0,2,4,0,1,1,0,0
141,4,1,0,2,4,1,1,0,0,0
142,5,1,0,2,4,0,0,1,1,1
143,6,1,0,1,4,0,0,1,1,1
144,7,1,1,2,4,0,1,1,0,0
145,7,1,1,1,4,0,1,1,0,0
146,4,0,1,2,4,0,1,1,1,1
147,4,0,0,2,4,0,0,1,0,0
148,5,0,0,1,4,0,1,1,1,0
149,7,1,1,1,4,0,1,1,1,0
150,5,0,0,2,4,0,0,1,1,0
151,6,0,0,1,4,0,0,1,0,0
152,6,1,0,2,4,0,0,1,0,0
153,5,0,0,1,4,0,0,1,1,0
154,5,1,1,1,4,0,1,1,1,0
155,6,1,1,1,4,0,0,1,0,0
156,7,0,1,2,4,1,0,1,0,1
157,7,1,1,1,4,1,0,1,0,1
158,6,1,0,2,4,0,0,0,0,1
159,4,0,0,2,4,0,0,1,0,0
160,5,0,0,1,2,0,0,1,1,0
161,4,1,1,2,2,1,1,1,1,0
162,3,1,0,1,2,1,1,1,1,0
163,2,1,0,1,2,0,1,1,1,0
164,4,1,1,1,2,0,1,1,1,0
165,1,0,0,1,2,0,1,1,1,0
166,3,0,1,1,2,0,0,1,1,1
167,1,1,1,2,2,0,0,1,1,1
168,2,1,0,1,2,0,1,1,1,1
169,2,1,1,2,2,0,0,1,1,0
170,4,1,1,1,2,0,0,1,0,0
171,4,1,1,2,2,0,0,1,0,1
172,5,1,1,1,2,0,0,0,1,1
173,4,1,1,2,2,0,0,0,1,1
174,5,0,0,2,2,0,1,1,1,1
175,4,0,0,2,2,1,1,1,0,0
176,4,1,1,1,2,1,1,1,0,0
177,3,0,1,1,2,0,0,0,1,0
178,4,0,1,1,2,0,1,1,1,1
179,4,0,0,2,2,0,1,1,1,0
180,1,0,1,1,2,0,1,1,1,1
181,3,1,0,2,2,0,1,1,1,0
182,4,1,0,2,2,0,1,1,1,1
183,4,0,0,1,2,0,1,1,1,1
184,2,1,1,2,2,0,1,0,1,0
185,3,1,1,1,2,0,1,0,1,0
186,2,1,0,1,2,0,0,1,1,1
187,2,0,1,2,2,0,0,1,1,1
188,4,0,0,2,2,0,1,0,1,0
189,4,0,0,1,2,0,1,0,1,0
190,2,0,1,2,2,1,0,1,1,1
191,4,0,0,1,2,0,1,1,1,0
192,5,0,1,2,2,0,1,1,1,1
193,3,0,1,2,2,0,0,1,1,0
194,3,0,1,1,2,0,0,1,1,0
195,4,0,1,1,2,1,0,1,0,1
196,3,0,1,1,2,0,1,1,1,1
197,4,0,1,1,2,1,1,1,1,1
198,3,0,1,1,2,0,0,1,1,1
199,5,1,0,2,2,0,1,0,1,1
200,2,1,0,1,2,0,1,0,1,1
201,1,0,1,2,2,1,1,1,1,0
202,5,1,1,2,2,0,0,1,1,0
203,4,0,0,2,2,1,1,1,1,1
204,4,1,1,1,2,1,1,1,1,0
205,5,0,0,1,2,0,1,1,1,1
206,5,0,0,2,2,0,1,1,1,1
207,2,1,0,1,2,0,1,1,1,0
208,3,0,0,2,2,0,0,0,1,0
209,3,0,1,1,2,0,1,0,0,1
210,3,0,1,1,2,0,0,1,1,1
211,1,0,0,2,2,0,0,1,1,1
212,4,0,0,1,2,1,1,1,0,0
213,2,0,1,2,2,1,1,1,0,1
214,1,0,1,1,2,0,1,1,1,1
215,6,1,0,1,2,0,1,1,1,0
216,1,0,0,1,2,0,1,1,1,0
217,4,0,1,2,2,0,1,1,1,1
218,4,1,1,1,2,1,1,1,0,0
219,4,0,0,2,2,0,1,1,1,1
220,5,1,1,2,2,0,0,1,1,1
221,2,1,0,1,2,0,0,1,1,1
222,5,1,0,2,2,1,0,0,0,1
223,4,0,0,2,2,1,0,0,1,1
224,2,1,1,1,2,1,0,0,1,1
225,2,0,0,1,2,1,1,1,1,0
226,3,1,0,1,2,0,0,1,1,0
227,3,1,1,2,2,1,0,1,0,0
228,4,0,1,1,2,1,0,1,0,0
229,4,0,0,1,2,0,1,1,1,0
230,4,1,0,2,2,0,1,1,1,0
231,3,1,1,2,2,0,1,1,1,0
232,4,1,0,1,2,0,1,1,1,1
233,3,1,0,2,2,0,0,1,1,1
234,4,0,1,1,2,0,0,1,1,1
235,2,0,0,2,2,1,0,1,0,1
236,5,0,1,1,2,0,1,1,1,0
237,2,1,1,2,2,0,1,1,1,0
238,3,1,0,1,2,0,1,1,1,0
239,3,0,1,1,2,0,1,1,0,1
240,1,1,0,2,2,1,1,1,1,0
241,3,0,0,1,2,0,1,1,1,0
242,7,1,0,2,2,0,1,1,1,0
243,4,1,0,2,2,0,0,1,1,0
244,2,1,0,1,2,0,0,1,1,0
245,4,0,0,1,2,1,1,1,1,0
246,6,0,0,2,2,1,1,1,1,0
247,4,1,0,2,2,0,0,1,1,0
248,2,1,1,1,2,0,0,1,1,0
249,1,0,0,1,2,0,0,1,0,1
250,4,1,1,2,2,0,0,1,0,0
251,4,0,1,2,2,0,0,1,1,0
252,7,1,1,2,2,1,1,1,1,0
253,5,1,1,1,2,0,0,0,1,1
254,3,0,0,2,2,1,0,1,1,1
255,6,1,0,1,2,1,0,1,1,0
256,4,0,0,2,2,0,0,1,1,0
257,4,1,0,1,2,1,0,0,1,1
258,2,1,0,2,2,0,1,0,1,1
259,4,1,1,2,2,0,1,1,1,1
260,3,1,1,1,2,1,1,1,1,1
261,2,1,1,2,2,1,1,1,1,1
262,4,0,0,2,2,0,1,0,1,0
263,5,1,0,1,2,0,1,0,1,1
264,5,1,0,1,2,0,1,1,1,0
265,2,1,1,2,2,0,1,1,1,1
266,2,0,1,2,2,0,0,0,1,0
267,3,0,0,1,2,0,0,0,1,0
268,4,1,1,1,2,0,1,1,1,1
269,5,0,1,2,2,0,1,1,1,0
270,6,0,1,2,2,1,0,1,1,0
271,2,0,1,1,2,1,0,1,1,0
272,3,0,0,1,2,0,0,1,0,0
273,6,0,1,2,2,0,0,1,0,1
274,2,1,1,1,2,1,0,1,1,0
275,2,1,1,1,2,1,1,0,1,0
276,5,1,1,1,2,0,0,1,1,0
277,5,0,1,2,2,0,0,1,1,1
278,4,1,0,2,2,0,1,0,0,1
279,4,0,1,2,2,1,1,1,1,0
280,2,0,1,2,2,1,0,0,1,0
281,2,0,1,1,2,1,0,0,1,0
282,3,0,1,2,2,0,1,1,1,1
283,1,1,0,2,2,0,0,1,0,1
284,5,1,0,1,2,0,0,1,0,1
285,3,1,1,1,2,1,0,1,1,0
286,4,1,0,2,2,0,1,1,1,0
287,3,0,1,1,2,0,1,1,1,1
288,2,0,0,1,2,0,0,1,1,0
289,4,1,1,2,2,1,1,1,1,0
290,4,1,0,1,2,1,1,1,1,1
291,4,1,0,1,2,1,0,1,1,1
292,5,1,1,1,2,1,0,1,1,0
293,1,1,0,2,2,0,0,1,0,0
294,4,1,1,1,2,0,0,1,0,0
295,5,1,1,2,2,0,1,0,1,0
296,4,1,1,1,2,0,1,0,1,0
297,5,0,0,1,2,0,0,1,1,1
298,5,0,0,2,2,0,0,1,1,0
299,2,0,0,1,2,1,0,1,1,0
300,3,1,1,2,2,1,0,1,1,0
301,4,0,1,2,2,1,0,1,1,0
302,4,1,0,1,2,0,0,1,1,0
303,7,0,0,2,2,0,0,1,1,0
304,4,1,1,1,2,0,0,1,1,0
305,1,1,1,2,2,0,0,1,1,0
306,4,1,0,2,2,1,0,1,0,1
307,2,0,0,1,2,1,0,1,0,0
308,1,1,0,1,2,0,0,1,1,0
309,2,0,1,2,2,0,0,1,1,1
310,6,0,0,2,2,0,0,1,1,0
311,3,0,0,1,2,0,0,1,1,0
312,7,1,1,1,4,0,1,1,1,0
313,7,1,0,2,4,0,1,1,1,1
314,7,0,0,2,4,1,1,1,0,0
315,5,0,0,1,4,1,1,1,0,0
316,5,0,0,2,4,1,1,1,1,0
317,6,1,1,1,4,1,1,1,1,1
318,7,1,0,1,4,0,1,1,1,1
319,7,1,0,2,4,0,1,1,1,0
320,5,0,1,2,4,1,1,1,1,1
321,7,0,1,1,4,1,1,1,1,1
322,6,1,1,2,4,0,0,0,1,0
323,6,0,1,2,4,0,0,1,0,1
324,7,0,1,2,4,0,1,1,1,1
325,2,0,0,1,4,0,1,1,1,0
326,7,1,1,2,4,0,0,1,0,0
327,7,1,1,1,4,0,0,1,0,0
328,3,0,0,2,4,0,0,1,1,0
329,5,1,1,2,4,0,0,1,1,0
330,6,0,1,1,4,0,0,1,1,1
331,3,0,0,1,4,0,0,1,0,0
332,7,0,0,2,4,0,0,1,0,0
333,6,1,1,1,4,0,0,1,1,0
334,5,0,0,2,4,0,1,1,0,0
335,4,0,0,1,4,0,0,0,0,0
336,6,1,0,1,4,0,1,1,1,0
337,3,0,0,1,4,0,0,1,0,0
338,7,1,1,1,4,0,1,1,1,0
339,6,1,1,1,4,0,1,1,0,0
340,7,0,1,2,4,0,1,1,0,1
341,7,1,1,1,4,0,1,1,0,1
342,3,0,0,1,4,1,0,1,0,0
343,7,1,1,2,4,0,1,1,0,1
344,6,1,0,1,4,0,1,1,0,1
345,5,0,0,2,4,0,1,1,0,0
346,3,0,0,1,4,0,0,1,1,0
347,1,0,0,2,4,0,1,1,1,0
348,6,0,1,1,4,0,1,1,1,0
349,7,1,0,1,4,0,0,1,0,1
350,5,1,0,2,4,0,0,1,0,1
351,6,0,1,2,4,0,0,1,1,1
352,7,0,1,1,4,0,0,1,1,1
353,7,1,1,2,4,1,1,1,1,1
354,7,0,1,1,4,0,1,0,1,1
355,3,0,0,2,4,0,1,1,1,0
356,7,0,1,1,4,0,0,1,0,1
357,4,0,0,2,4,0,0,1,0,0
358,7,1,1,2,4,0,0,1,1,0
359,5,1,1,1,4,0,0,1,1,0
360,7,1,1,2,4,1,0,0,0,0
361,6,0,1,2,4,0,1,1,1,1
362,5,1,1,1,4,0,1,1,1,0
363,7,1,0,2,4,0,0,1,0,0
364,7,1,0,1,4,0,1,1,1,0
365,7,1,1,2,4,0,1,1,1,0
366,5,1,1,1,4,0,1,1,0,1
367,7,1,1,1,4,0,0,1,1,0
368,7,0,1,2,4,0,1,1,0,1
369,3,0,0,1,4,0,1,1,0,0
370,5,1,1,2,4,1,0,1,0,0
371,5,1,1,1,4,0,0,1,0,1
372,6,1,1,2,4,0,0,1,0,0
373,7,1,1,1,4,0,0,1,1,0
374,4,0,0,2,4,0,0,1,1,0
375,6,0,1,1,4,0,1,1,1,1
376,5,0,1,2,4,1,0,1,0,1
377,6,1,1,1,4,1,0,1,0,0
378,7,1,0,2,4,0,0,1,0,0
379,7,1,1,1,4,0,0,1,0,0
380,7,1,0,2,4,0,0,1,1,0
381,5,0,0,1,4,0,0,1,1,0
382,3,0,1,2,4,0,1,1,1,1
383,5,1,1,1,4,0,1,1,1,1
384,7,1,0,2,4,1,1,1,0,0
385,4,0,0,1,4,0,1,0,1,0
386,7,0,1,2,4,0,1,0,1,1
387,7,1,0,1,4,0,1,1,1,0
388,5,1,1,2,4,0,1,1,1,0
389,7,1,0,1,4,1,1,1,0,0
390,7,1,1,2,4,1,1,1,0,0
391,6,0,1,2,4,0,0,1,0,1
392,7,1,0,1,4,0,0,1,0,0
