republican,incumbent,marriage_perception,marriage_opinion,religexempt_perception,religexempt_opinion,gunsbanassault_perception,gunsbanassault_opinion
1,0,50,69,60,34,70,70
1,0,10,48,60,49,10,46
1,1,25,53,65,46,,58
0,0,50,67,30,38,,70
1,0,25,52,70,44,,60
0,1,,71,,35,,69
0,0,75,41,50,48,,52
1,0,40,58,65,43,,56
0,1,90,78,5,28,80,74
0,1,20,,30,,20,
1,0,70,71,70,36,,73
0,1,30,53,10,42,15,54
1,0,40,49,60,43,20,61
0,0,30,44,40,51,30,43
0,0,75,59,10,41,5,62
1,0,40,65,90,36,10,64
0,1,90,82,2,27,80,78
0,0,50,61,30,42,,59
1,0,65,68,55,36,35,64
0,1,80,71,60,36,20,67
0,0,60,53,33,37,45,68
0,0,40,57,65,42,25,63
1,0,25,47,60,51,,46
0,0,35,43,50,49,,50
1,0,20,43,65,45,,59
1,0,33,60,33,43,,55
0,0,70,54,15,44,,61
0,0,60,43,50,51,,50
1,1,7,51,10,41,10,50
0,1,50,48,60,46,60,55
1,1,20,49,75,51,,48
1,0,20,38,60,54,,51
1,0,30,58,85,44,20,62
0,1,70,65,20,36,,70
1,1,25,69,50,38,40,66
1,0,75,79,75,27,,74
0,0,60,62,20,43,,55
0,0,20,48,10,49,20,45
1,0,15,61,20,37,,61
0,0,50,54,50,48,60,56
1,0,75,68,15,35,50,65
1,0,20,53,60,45,,52
0,0,50,58,50,45,60,62
1,1,30,62,40,38,20,61
0,0,15,56,20,47,25,54
0,1,60,62,30,39,,64
1,1,40,46,80,54,,44
0,1,45,59,35,37,,57
0,1,75,61,20,29,,76
0,0,30,58,70,41,30,58
1,1,10,43,75,51,25,56
0,0,40,44,40,50,,45
1,1,40,49,70,46,50,61
0,1,15,55,,43,30,60
1,0,60,69,60,32,,74
1,1,5,46,75,49,20,55
1,1,2,54,90,44,5,59
1,1,60,55,75,43,30,63
0,1,60,57,50,25,,78
0,0,50,59,25,44,,54
1,0,70,73,50,32,80,76
1,1,40,53,50,46,,50
1,1,5,54,50,50,10,51
0,0,60,52,60,42,10,56
0,1,50,58,15,28,85,75
0,0,50,63,30,38,,61
1,0,10,63,60,33,20,61
0,0,85,60,20,41,,66
0,0,75,72,50,34,60,69
0,1,70,62,30,40,50,59
0,1,35,57,25,40,,65
0,0,10,41,60,44,,57
0,0,55,62,25,43,,65
0,0,60,68,20,35,80,64
1,0,70,70,25,33,50,67
0,1,60,63,40,40,,58
0,1,60,71,15,26,,76
1,1,20,39,60,51,,49
0,0,50,56,25,43,,54
0,1,65,68,25,34,,64
1,0,50,60,75,35,40,69
0,0,80,62,50,37,95,60
1,1,10,41,85,55,10,41
0,1,54,57,12,26,55,76
0,0,60,65,40,33,20,64
0,1,55,54,45,44,55,57
1,1,60,67,30,39,60,68
0,0,85,66,25,35,,65
0,1,65,66,45,38,,64
0,0,35,58,25,43,20,60
0,0,70,65,25,39,40,63
0,1,90,71,20,32,,69
0,0,20,51,55,46,,57
0,1,70,60,35,38,70,67
0,0,85,67,45,29,40,70
1,0,70,66,60,33,30,68
0,1,50,61,30,35,55,70
1,1,80,74,80,36,10,69
1,1,35,54,65,43,,60
0,1,60,55,60,30,,77
0,1,50,58,30,37,40,57
0,0,40,50,30,47,,50
0,0,55,51,45,51,,49
1,0,30,71,35,33,,67
0,0,60,49,20,46,80,56
0,0,55,63,45,43,,63
0,1,100,59,0,38,,59
1,1,25,43,85,51,,42
0,1,70,61,20,39,60,60
1,1,10,43,70,47,30,55
0,0,60,65,20,44,70,64
0,0,45,52,50,43,50,60
0,1,80,66,40,38,,64
1,0,70,54,75,40,20,58
0,0,60,67,40,37,25,62
0,1,40,45,30,51,10,51
1,1,90,46,90,52,,43
0,0,33,50,50,50,,48
1,1,30,43,65,46,,53
1,1,55,61,55,39,,58
1,1,20,52,60,45,20,57
0,0,45,53,45,48,,50
0,0,60,58,50,42,,64
1,1,40,46,66,49,,47
1,0,90,68,90,35,,64
1,1,35,47,55,46,,55
0,0,80,61,10,35,90,70
0,1,65,70,40,37,,65
0,1,80,69,20,37,85,71
1,0,70,49,60,46,,56
0,1,75,62,56,37,65,59
1,0,5,54,15,44,5,61
0,0,60,42,30,54,40,42
1,1,15,50,90,47,5,51
1,1,15,51,95,49,8,55
0,0,50,51,30,48,,48
0,1,65,51,40,45,,59
0,0,50,49,65,46,,50
1,0,25,57,50,38,10,64
0,1,60,55,40,41,,62
1,0,30,51,85,47,20,59
1,0,10,66,10,34,25,71
1,0,70,72,50,30,70,72
1,1,65,45,75,51,,44
1,1,10,46,90,53,,45
0,1,55,71,40,22,,79
0,1,65,68,50,35,60,66
0,0,50,67,55,37,30,68
0,0,60,54,40,45,40,59
0,0,80,54,20,45,80,57
0,0,70,67,20,40,50,67
0,1,45,58,5,27,,77
1,0,50,55,50,45,20,52
0,0,50,54,30,41,,64
0,0,55,62,25,41,,66
1,0,35,53,80,46,10,52
0,1,75,65,40,34,,68
0,0,60,52,40,46,,55
0,1,65,61,20,37,,59
0,1,70,70,50,29,,70
1,0,95,69,40,21,,77
1,1,35,40,60,45,60,56
0,0,50,46,50,51,35,44
0,0,60,65,50,41,50,66
1,0,30,74,50,22,,81
0,1,35,57,65,44,,56
1,1,20,43,90,51,,42
1,1,25,45,80,48,80,57
0,0,30,47,50,50,40,52
0,1,80,80,5,24,65,82
1,0,70,69,40,34,,72
1,1,50,49,60,47,,48
0,0,80,70,40,35,53,65
1,1,30,53,60,48,25,48
0,0,30,48,30,51,20,45
0,1,55,59,35,32,40,72
0,0,65,56,50,42,,62
0,0,60,52,50,41,,61
1,1,30,76,85,35,,71
1,0,45,47,70,54,40,50
0,1,75,59,35,35,50,65
0,1,80,66,35,35,55,65
0,0,60,61,35,38,,59
0,1,60,62,25,32,40,71
0,0,50,59,30,41,15,62
1,0,10,52,90,49,,55
1,0,40,45,70,47,5,53
1,0,65,77,25,28,,76
1,0,40,69,50,36,40,67
1,1,40,41,60,55,,43
0,0,70,69,50,37,,71
0,0,50,74,50,35,,75
0,0,50,62,40,44,55,62
0,1,50,58,,40,,57
1,0,45,62,55,39,,58
0,0,65,62,30,41,,64
1,0,50,64,40,39,40,65
0,0,40,55,70,45,15,58
0,1,90,79,25,28,,77
0,0,30,57,30,46,30,59
0,0,25,44,50,48,10,56
0,0,10,49,55,46,10,57
0,0,34,50,55,47,,62
0,0,70,62,35,46,,55
0,1,60,60,30,37,,64
1,0,30,67,50,34,,67
1,1,50,42,50,50,,50
0,0,90,72,15,32,,76
0,0,30,58,70,44,,60
1,1,45,57,40,38,,65
1,1,40,63,50,39,50,59
1,1,25,41,70,51,,53
0,0,85,78,15,29,85,75
0,0,75,51,50,44,30,61
0,1,80,65,30,32,60,73
1,1,50,67,75,38,10,62
0,0,70,62,25,35,,67
0,0,15,50,50,48,,56
0,0,80,63,25,40,30,67
1,1,20,46,90,53,,51
0,0,70,62,40,36,50,62
1,1,25,59,55,44,,62
0,0,50,59,50,44,,56
0,0,60,58,40,38,,64
0,0,35,61,55,39,20,58
1,1,25,45,50,50,,55
0,1,75,55,10,36,,63
0,1,75,63,65,34,60,62
0,0,50,65,55,39,45,63
0,1,80,72,10,30,15,71
0,1,90,69,25,24,25,73
1,0,10,52,85,47,,55
0,0,15,58,30,43,15,62
