unique_id,treat,prop_sd_fem2014,sd_onefem2014,county,pc_male,mormon
27215,supply,0,0,Grand,1,0
27386,control,0,0,Grand,0,0
27496,control,1,1,Grand,1,0
16202,demand,1,1,Daggett,1,1
16241,control,.5,1,Daggett,1,0
26601,control,0,0,Emery,1,0
27551,demand,0,0,Grand,1,0
67237,control,0,0,San Juan,1,0
69699,supply,0,0,Sevier,1,0
86949,supply,0,0,Wasatch,1,0
26617,both,0,0,Emery,1,0
27579,both,1,1,Grand,0,0
67263,demand,0,0,San Juan,1,0
69702,control,0,0,Sevier,0,0
86996,control,0,0,Wasatch,1,1
69718,control,0,0,Sevier,1,1
69760,supply,.5,1,Sevier,1,1
87096,control,1,1,Wasatch,1,0
69940,demand,0,0,Sevier,1,0
87106,supply,.33333334,1,Wasatch,1,0
15065,demand,0,0,Carbon,1,0
69964,control,0,0,Sevier,0,0
15077,control,1,1,Carbon,0,0
69993,demand,1,1,Sevier,0,0
15096,supply,0,0,Carbon,1,0
67271,supply,0,0,San Juan,1,0
15134,supply,1,1,Carbon,1,0
67318,demand,0,0,San Juan,0,0
70081,demand,0,0,Sevier,1,0
15168,both,0,0,Carbon,1,0
67325,control,0,0,San Juan,1,0
26574,control,1,1,Emery,1,0
31125,supply,0,0,Piute,1,0
31295,demand,0,0,Rich,1,0
69385,supply,0,0,Sevier,1,0
69804,supply,0,0,Sevier,1,0
69815,supply,0,0,Sevier,1,0
87199,control,0,0,Wasatch,1,1
15293,both,0,0,Carbon,1,0
87229,both,1,1,Wasatch,1,0
69901,supply,0,0,Sevier,1,0
87238,demand,0,0,Wasatch,0,1
69929,control,0,0,Sevier,1,1
87240,supply,1,1,Wasatch,1,1
87272,demand,0,0,Wasatch,1,1
15303,both,0,0,Carbon,1,0
15342,demand,0,0,Carbon,1,0
26664,both,0,0,Emery,0,1
30846,supply,.33333334,1,Morgan,1,0
69407,supply,.5,1,Sevier,0,1
15451,control,0,0,Carbon,1,1
87326,both,0,0,Wasatch,0,0
15530,demand,1,1,Carbon,0,1
87374,control,.5,1,Wasatch,1,0
15553,control,1,1,Carbon,1,0
87414,both,1,1,Wasatch,1,0
15569,both,0,0,Carbon,1,0
87446,supply,0,0,Wasatch,1,0
15697,both,0,0,Carbon,0,0
87480,both,1,1,Wasatch,1,0
15856,supply,0,0,Carbon,1,0
15943,both,.5,1,Carbon,0,0
15989,supply,1,1,Carbon,0,1
26672,supply,0,0,Emery,0,1
30912,supply,0,0,Morgan,1,0
31224,supply,1,1,Piute,1,1
31490,control,0,0,Rich,0,0
16107,both,1,1,Carbon,1,0
87569,both,1,1,Wasatch,1,0
87595,control,0,0,Wasatch,1,1
87609,both,0,0,Wasatch,1,0
87621,both,.5,1,Wasatch,1,0
26722,demand,0,0,Emery,1,0
30954,control,1,1,Morgan,1,0
31248,control,.5,1,Piute,1,0
31501,demand,0,0,Rich,1,1
69482,supply,0,0,Sevier,1,0
87697,control,0,0,Wasatch,1,1
87744,control,0,0,Wasatch,1,0
87802,both,0,0,Wasatch,1,0
87825,supply,0,0,Wasatch,1,0
87841,supply,0,0,Wasatch,1,0
