vvweight_post,person_of_color,college,female,medicare_expand,vote_wait,votereg_problem
.60659283,0,1,0,0,,0
.55331374,1,1,0,1,,0
.90298123,0,0,1,1,,0
.83590216,0,1,1,1,15,0
.39008695,0,0,1,1,,0
.87775155,1,0,1,1,0,0
.71412424,0,1,0,1,0,0
.18228011,1,1,0,1,,0
.57086094,0,1,1,1,,0
1.432529,0,1,1,1,,0
.74964696,0,1,0,0,,0
.84439361,0,0,0,1,,0
.15901361,1,1,0,1,,0
.40782975,0,1,0,1,,0
.79519244,0,1,1,1,,0
.3846456,0,1,0,1,,0
.45390926,0,1,1,1,15,0
.83878601,0,1,0,0,45,0
.74504848,0,1,1,1,,0
.44482375,0,1,0,1,5,0
.64217703,0,1,1,1,0,0
.2864011,1,1,1,1,,0
.65053718,0,1,1,0,,0
.489119,0,1,1,1,15,0
.42459501,1,1,0,1,,0
.45087725,0,1,1,1,,0
.47818477,0,0,1,1,,0
1.004049,0,1,1,1,,0
.72440569,0,1,0,1,,0
.50012409,0,1,0,1,,0
1.6205746,0,1,1,0,,0
.95647935,0,1,1,1,,0
.82120334,0,1,1,1,0,0
.61458639,0,0,0,1,,0
.54860033,0,0,0,1,,0
.73474384,0,0,1,1,0,0
.53025742,0,1,0,1,,0
.4137745,0,1,1,1,15,0
.46121944,0,0,1,1,,0
.47485097,0,1,0,1,,0
.56087379,0,1,0,1,,0
.38050002,0,1,0,0,,0
.77368584,0,0,1,0,,0
.46176595,0,0,0,1,,0
.53141739,0,0,1,1,,0
.74454168,0,1,0,0,,0
.59479531,0,0,1,1,,0
.36834622,1,0,1,0,,0
.56145568,0,1,0,1,,0
.76465973,0,1,1,1,,0
.93207619,0,1,1,1,,0
.46717285,1,0,1,0,,0
.42375259,0,1,0,1,,0
.20232715,0,0,1,1,,0
.69667494,0,1,0,1,,0
.74702092,0,1,1,0,,0
.4255402,1,0,1,0,0,0
1.1446243,0,1,1,0,,0
.69777927,0,0,0,0,0,0
.47485097,0,1,0,1,,0
.28104744,0,0,0,0,,0
.78834271,0,0,1,1,15,0
.88184313,0,1,0,0,0,0
.89591851,0,1,0,1,,0
.68574105,0,1,0,1,,0
.64217703,0,1,1,1,0,0
.63979109,0,1,0,1,,0
.68786492,0,0,0,1,,0
.53137549,0,0,1,1,,0
1.2390668,0,1,0,1,,0
.35759598,0,1,1,1,,0
.53850387,0,1,0,1,,0
.88280543,1,1,0,1,5,0
.61458639,0,1,0,0,,0
.57587987,0,1,0,1,,0
.69667494,0,1,0,1,,0
.95647935,0,1,1,1,,0
.82120334,0,1,1,1,,0
.50240964,1,1,0,1,,0
.76333545,0,1,1,1,0,0
.66993384,0,0,1,1,,0
1.1956594,0,1,1,1,,0
.82823782,0,1,1,1,,0
1.194935,0,1,0,0,,0
.41095148,0,0,0,1,,0
.71211048,0,1,1,1,,0
.77183409,0,1,0,1,,0
.53317171,0,0,0,1,,0
.74504848,0,1,1,0,,0
.53850387,0,1,0,1,5,0
.41384514,0,1,0,1,,0
1.287624,0,1,1,1,,0
1.1276165,0,1,1,1,,0
.77183409,0,1,0,1,,0
.8386254,0,1,1,0,,0
.69802657,0,1,1,1,,0
1.2289604,0,0,1,0,,0
.81385716,0,1,1,0,,0
.35173056,1,1,0,1,,0
.19276395,0,1,0,1,0,0
.47268191,0,1,1,1,,0
1.0763771,0,1,1,1,,
1.3051308,1,1,1,1,,0
.61136807,0,1,1,1,15,0
.51553621,0,1,1,1,0,0
1.8316796,0,1,1,0,,0
.61218905,0,1,0,1,,0
.8386254,0,1,1,1,,0
.44126234,0,1,0,1,0,0
.54458565,0,1,1,1,,0
.84439361,0,1,0,1,,0
.80158482,0,1,0,0,,0
.55189528,0,0,0,0,,0
.82120334,0,1,1,1,,0
.6314597,0,0,1,1,,0
.65661177,0,1,1,1,,0
.32197807,1,1,1,0,,0
.53692113,1,0,1,1,,0
.78686552,0,1,1,1,,0
.60335469,0,0,0,1,,0
1.189141,0,1,1,1,,0
.18730072,0,0,1,0,,0
.38111406,0,0,1,1,,0
.57086094,0,1,1,1,,0
.67168785,0,0,1,1,,0
.45718148,0,1,1,1,,0
.88197494,0,1,0,1,,0
.32390141,1,1,1,1,,0
.41232669,0,0,1,1,,0
.78432517,1,1,1,0,,0
.83912102,0,1,1,1,0,0
.54251572,0,1,1,1,,0
.77209403,0,1,1,0,0,0
.56870034,0,1,1,1,,0
.46121944,0,1,1,1,,0
.41384514,0,1,0,1,5,0
1.1288944,0,0,1,0,,0
.83668155,0,1,1,0,,0
.48581095,0,0,1,1,,0
.2228586,0,1,0,0,,0
1.2266975,0,1,1,1,,0
.51798843,0,0,0,0,,0
2.531108,0,0,0,0,,0
.45804663,0,1,0,1,,0
.38111406,0,0,1,1,,0
.3951939,0,0,1,1,,0
.0001,0,0,1,0,,0
.44345391,0,0,0,1,,0
.75610334,0,0,1,1,,0
.61458639,0,1,0,1,,0
.44764793,0,0,1,0,,0
.80043987,1,0,1,0,,0
.48906789,0,0,0,1,,0
.8685417,0,1,1,1,,0
.37029279,1,1,1,1,,0
.82713838,1,1,1,0,,0
.36894068,0,0,1,1,,0
.72287658,0,1,1,0,,0
.5549865,0,1,1,1,,0
.49423086,0,0,0,1,,0
1.9404427,1,1,1,1,,0
.40997593,0,1,1,1,,0
.36453494,0,0,0,1,,0
1.0918016,0,1,0,1,,0
.80772987,0,1,0,1,0,0
.9647577,0,0,0,0,15,0
.54262816,0,1,1,1,5,0
.79062818,1,1,1,1,,0
2.4313529,0,1,1,1,,0
.99889521,0,0,0,1,,0
.20703893,1,0,1,1,,0
.73201326,0,1,1,1,,0
.38111406,0,0,1,1,,0
.63979904,0,0,1,1,,0
.21221668,0,1,1,1,,0
.88367216,0,0,1,0,,0
1.6677442,0,1,0,0,,0
.74035712,0,1,1,0,,0
.67943393,1,1,0,1,,0
.53369672,0,0,0,0,,0
.81790017,0,0,0,1,15,0
.80531199,0,1,1,1,,0
.38329796,1,1,0,1,,0
1.4772715,0,0,0,1,,0
.35944839,1,0,1,1,,0
.50869995,0,1,0,1,,0
1.3065467,0,1,0,1,15,0
.5638077,0,0,1,0,,0
.58614492,0,0,1,0,,0
.6650994,0,0,1,0,,0
1.2687991,0,0,0,0,,0
.5638077,0,0,1,1,,0
2.8748827,0,0,1,0,,0
.61401701,0,0,1,1,,0
.36580308,1,0,1,1,,0
.21048103,1,0,1,0,,0
.98881181,0,1,1,0,,0
.72662902,0,1,0,1,,0
1.149581,0,0,1,0,,0
1.0109922,1,1,1,1,,0
.40997593,0,0,1,1,,0
1.6397365,0,0,0,0,,0
.46198109,1,0,1,1,,0
.93077888,0,1,1,1,,0
.63842086,0,0,1,1,,0
.79322504,0,1,1,1,,0
.57086094,0,1,1,0,,0
.55656507,0,1,0,1,45,0
.80618346,0,0,1,0,,0
.45565939,0,0,0,1,,0
.78834271,0,1,1,1,5,0
.55627613,0,0,1,1,,0
.82823782,0,1,1,1,5,0
.60548298,0,0,0,1,15,0
.56087379,0,1,0,1,,0
.98881181,0,1,1,1,0,0
.73173384,0,1,0,1,,0
.41370148,0,1,0,1,,0
2.0381946,0,0,0,1,,0
.43756134,0,0,1,1,,0
1.0025872,0,1,0,1,,0
1.70306,1,1,1,1,0,0
.72336938,0,0,1,1,,0
.3050343,0,1,0,1,,0
1.4823768,0,0,1,0,,0
.81715581,0,1,0,1,,0
1.2093973,0,1,0,1,,0
.1706017,0,1,0,1,,0
.61136807,0,0,1,1,,0
.57218397,0,1,1,1,,0
.53020679,0,1,1,0,,0
.48581095,0,0,1,0,,0
.44764793,0,0,1,0,,0
1.1927334,0,1,1,1,,0
.51504739,0,1,1,1,,0
.69759921,1,0,1,1,,0
.67111321,0,1,1,1,,0
.5870192,0,1,1,1,,0
.48581095,0,1,1,1,,0
.71942416,0,1,1,1,,0
1.0795711,0,0,0,1,,0
.87334015,0,0,1,1,,0
.36890937,0,1,1,1,,0
.64298747,0,1,0,1,,0
.17680171,0,1,0,1,,0
.39771986,0,0,1,1,,0
.76911382,0,0,1,0,,0
1.0434117,0,1,1,0,,0
.84705878,0,1,0,0,45,0
.73421796,1,1,1,0,,0
.74130825,0,0,1,1,0,0
1.3065467,0,1,0,1,,0
1.3820065,0,0,1,1,,0
.92698325,0,0,1,0,,0
.74173335,0,0,1,1,,0
.41241319,0,0,0,1,,0
.5549865,0,0,1,1,,0
.53660304,1,1,1,0,,0
1.7751622,1,0,1,1,,0
1.2418232,0,0,1,1,,0
1.5660014,0,0,0,0,,0
1.4252004,0,0,0,1,,0
1.7206043,1,0,0,1,,0
.69459752,0,0,0,1,,0
.04711243,1,0,1,1,,0
.4709813,1,1,1,1,,0
.6000044,0,0,0,1,,0
1.0128743,0,0,0,0,,0
2.5608434,1,0,0,0,,0
.44355166,0,0,0,1,,0
.73897363,0,0,1,1,,0
.33400536,0,1,0,1,,0
.53317171,0,0,0,1,,0
.73148658,0,1,0,1,,0
1.3230389,0,0,1,0,,0
.42950758,0,0,1,1,,0
.48581095,0,0,1,1,,0
1.432529,0,1,1,0,,0
1.0375257,0,1,1,1,,0
.83843654,0,1,1,1,,0
3.1004986,1,1,0,0,,0
1.1597152,0,0,0,0,,0
.3095657,0,0,0,1,,0
.14112764,1,1,0,1,,0
.53266387,0,1,0,1,,0
.5638077,0,0,1,1,,0
.57086094,0,1,1,0,,0
.19551953,1,1,0,0,,0
.37411742,0,0,1,1,,0
.88860764,0,1,0,0,,0
.58170859,0,0,0,1,,0
.82120334,0,1,1,1,,0
.41362896,0,0,0,1,,0
.62540194,0,1,1,1,,0
1.2390668,0,1,0,0,,0
.78834271,0,0,1,1,,0
.59479531,0,1,1,1,,0
.18367052,0,1,0,1,,0
.68574105,0,1,0,1,,0
.4923795,0,1,0,0,,0
.77458972,0,1,1,1,,0
